CodigoCUPS;Descripcion;QueEs
30229;EXPLORACIÓN Y DESCOMPRESIÓN MÁS DE DOS SEGMENTOS POR FORAMINOTOMÍA VÍA ABIERTA;Procedimiento quirúrgico consistente en explorar y ensanchar la abertura en la espalda por donde las raíces nerviosas salen del conducto raquídeo más de dos segmentos vía abierta a través de una incisión en la piel.
30230;EXPLORACIÓN Y DESCOMPRESIÓN MÁS DE DOS SEGMENTOS POR FORAMINOTOMÍA VÍA PERCUTÁNEA;Procedimiento quirúrgico consistente en explorar y ensanchar la abertura en la espalda por donde las raíces nerviosas salen del conducto raquídeo más de dos segmentos vía percutánea a través de la piel o por la piel.
30231;EXPLORACIÓN Y DESCOMPRESIÓN MÁS DE DOS SEGMENTOS POR FORAMINOTOMÍA VÍA ENDOSCÓPICA;Procedimiento quirúrgico consistente en explorar y ensanchar la abertura en la espalda por donde las raíces nerviosas salen del conducto raquídeo más de dos segmentos a través de un equipo con cámara e instrumentos especiales  (endoscopio)
30301;EXPLORACIÓN Y DESCOMPRESIÓN DE RAÍZ DEL NERVIO ESPINAL;Procedimiento quirúrgico para revisar y liberar una raíz nerviosa comprimida en la columna vertebral y ensanchar la abertura en la espalda por donde los nervios raquídeos salen de la columna vertebral.
30302;ESCISIÓN DE QUISTE SINOVIAL FACETARIO VÍA POSTERIOR;Procedimiento quirúrgico por abordaje vía posterior consistente en la extirpación de quiste sinovial facetario (lesiones degenerativas intraespinales y extradurales que se originan de la cápsula de la articulación facetaría pueden causar compresión del saco dural y de la raíz espinal manifestándose con un cuadro de compromiso radicular.
30404;DRENAJE DE COLECCIÓN EPIDURAL CERVICAL;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral cervical en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo.
30405;DRENAJE DE COLECCIÓN EPIDURAL TORÁCICA;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral torácica en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo.
30406;DRENAJE DE COLECCIÓN EPIDURAL LUMBOSACRA;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral lumbosacra en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo.
30407;DRENAJE DE COLECCIÓN SUBDURAL CERVICAL;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral cervical en el espacio  comprendido entre la superficie interna  de la duramadre (membrana que recubre la médula espinal) y la superficie externa de la aracnoides (membrana que recubre el encéfalo y la médula espinal).
30408;DRENAJE DE COLECCIÓN SUBDURAL TORÁCICA;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral torácica en el espacio  comprendido entre la superficie interna  de la duramadre (membrana que recubre la médula espinal) y la superficie externa de la aracnoides membrana que recubre el encéfalo y la médula espinal
30409;DRENAJE DE COLECCIÓN SUBDURAL LUMBOSACRA;Procedimiento para la evacuación de un acúmulo de líquido sangre o pus de la columna vertebral lumbosacra en el espacio  comprendido entre la superficie interna  de la duramadre (membrana que recubre la médula espinal) y la superficie externa de la aracnoides membrana que recubre el encéfalo y la médula espinal
31101;RIZOTOMÍA DE RAÍZ NERVIO ESPINAL VÍA ABIERTA;Procedimiento quirúrgico  en la que se  realiza Interrupción de  una de las raíces de los nervios raquídeos por abordaje abierto a través de una incisión en la piel.
31102;RIZOTOMÍA DE RAÍZ NERVIO ESPINAL VÍA PERCUTÁNEA;Procedimiento quirúrgico  en la que se  realiza Interrupción de  una de las raíces de los nervios raquídeos  a través dela piel o por  la piel.
31103;RIZOTOMÍA DE RAÍZ NERVIO ESPINAL VÍA ENDOSCÓPICA;Procedimiento quirúrgico  en la que se  realiza Interrupción de  una de las raíces de los nervios raquídeos  abierto a través de un equipo con cámara e instrumentos especiales  (endoscopio)
31104;RIZÓLISIS FACETARIA (NEUROTOMÍA DE RAMA MEDIAL) VÍA PERCUTÁNEA;Procedimiento realizado   generalmente por la técnica de radiofrecuencia  sobre los nervios de las articulaciones facetarías situadas simétricamente en cada nivel de la columna vertebral que son los que informan de dolor lumbar  anulando la función de los nervios responsables del dolor el cual es realizado a través de la piel  o por la piel con anestesia local guiada por rayos X.
31105;RIZÓLISIS FACETARIA (NEUROTOMÍA DE RAMA MEDIAL) VÍA ENDOSCÓPICA;Procedimiento realizado   sobre los nervios de las articulaciones facetarías situadas simétricamente en cada nivel de la columna vertebral anulando la función de los nervios responsables del dolor a través de un equipo con cámara e instrumentos especiales  (endoscopio)
32001;CORDOTOMÍA VÍA ABIERTA;Procedimiento quirúrgico donde se  realiza la sección de los cordones antero laterales de la médula espinal por abordaje abierto a través de una incisión en la piel
32002;CORDOTOMÍA VÍA PERCUTÁNEA;Procedimiento quirúrgico donde se  realiza la sección de los cordones antero laterales de la médula espinal a través de la piel o por la  piel
32003;CORDOTOMÍA VÍA ENDOSCÓPICA;Procedimiento quirúrgico  en la que se  realiza la sección de los cordones antero laterales de la médula espinal por abordaje abierto a través de un equipo con cámara e instrumentos especiales  (endoscopio)
32303;TRACTOTOMÍA DE MÉDULA ESPINAL (ANTERIOR LATERAL O POSTERIOR);Procedimiento donde se produce  una lesión medular  que interrumpe selectivamente las fibras que transmiten la información del dolor.
32304;LESIÓN DE TRACTOS DE ENTRADA DE RAÍCES POSTERIORES [DREZ];Es la destrucción o lesión  de la región de entrada de la raíz  posterior sensitiva  en el asta posterior de la medula
32401;MIELOTOMÍA POR ABLACIÓN VÍA ABIERTA;Procedimiento quirúrgico consistente en la destrucción por medios físicos o químicos de una parte de la médula espinal con el fin de interrumpir las vías sensibles y provocar anestesia local en alguna zona del cuerpo a través de una incisión en la piel de la espalda.
33101;PUNCIÓN LUMBAR (DIAGNÓSTICA O TERAPÉUTICA);Punción del espacio subaracnoideo en la región lumbar entre la tercera y cuarta vértebra lumbar con fines diagnósticos o terapéuticos
33102;DRENAJE LUMBAR TRANSITORIO;El drenaje lumbar externo es una opción terapéutica en la hipertensión endocraneal refractaria secundario a traumatismo cráneo encefálico grave
33103;MANOMETRÍA DE LÍQUIDO CEFALORRAQUÍDEO;Medición de la presión o la tensión de líquido cefalorraquídeo (LCR) con un manómetro.
33201;BIOPSIA DE TUMOR INTRADURALES (INTRAMEDULARES Y EXTRAMEDULARES) CERVICALES DORSALES LUMBOSACROS O COCCÍGEOS;Procedimiento para la extracción de muestras de tejido tumoral dentro de la médula espinal o alrededor de ella con fines diagnósticos.
33202;BIOPSIA ABIERTA DE TUMOR DEL FORAMEN MAGNO VÍA LATERAL;Procedimiento quirúrgico para la extracción de muestras de tejido tumoral ubicado en el orificio mayor de la base del cráneo a través del cual se establece la continuidad con la médula espinal por vía lateral.
33203;BIOPSIA DE MÉDULA ESPINAL O MENINGES ESPINALES;Procedimiento para la extracción de un fragmento de tejido de la médula espinal o de las membranas que recubren el cerebro y la columna (meninges) con fines diagnósticos.
34101;RESECCIÓN DE TUMOR DEL FORAMEN MAGNO POR CRANEOTOMÍA DE FOSA POSTERIOR Y ESCISIÓN DE ARCO POSTERIOR DE ATLAS VÍA POSTERIOR;Procedimiento consistente en la resección de tumor del forámen magno (orificio mayor de la base del cráneo) mediante la apertura quirúrgica del mismo en la parte posterior y corte de la primera vértebra cervical.
34102;RESECCIÓN DE TUMOR DEL FORAMEN MAGNO VÍA TRANSCONDÍLEA;Extracción de tumor del orificio mayor de la base del cráneo ingresando al mismo a través de la parte posterior del cráneo.
34103;RESECCIÓN DE TUMOR DEL FORAMEN MAGNO VÍA TRANSORAL;Extracción de tumor del orificio mayor de la base del cráneo ingresando al mismo a través de la boca.
34208;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL C1 C2 VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel de las vértebras cervicales C1 y C2 por abordaje abierto a través de una incisión en la piel.
34209;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL C1 C2 VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel de las vértebras cervicales C1 y C2 través  de la piel o por la piel.
34210;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL C1 C2 VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel de las vértebras cervicales C1 y C2 vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34211;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) hasta dos segmentos por abordaje abierto a través de una incisión en la piel.
34212;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) hasta dos segmentos a tráves de la piel o por la piel.
34213;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) hasta dos segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34214;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) más de dos segmentos por abordaje abierto a través de una incisión en la piel.
34215;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) más de dos  dos segmentos a tráves de la piel o por la piel.
34216;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7) más de dos dos segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34217;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) hasta dos  segmentos por abordaje abierto a través de una incisión en la piel.
34218;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) hasta dos  segmentos a tráves de la piel o por la piel.
34219;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) hasta dos  segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34220;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) más de dos  segmentos por abordaje abierto a través de una incisión en la piel.
34221;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) más de  dos  segmentos a tráves de la piel o por la piel.
34222;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras torácicas (T1 a T12) más de  dos  segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34223;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras lumbares (L1 a L5)) hasta dos segmentos vía endoscópica  por abordaje abierto a través de una incisión en la piel.
34224;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras lumbares (L1 a L5)) hasta  dos  segmentosa tráves de la piel o por la piel.
34225;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras lumbares (L1 a L5))  hasta  dos  segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34226;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo  a nivel  de las vértebras lumbares (L1 a L5)) más de  dos segmentos vía endoscópica  por abordaje abierto a través de una incisión en la piel.
34227;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel  de las vértebras lumbares (L1 a L5)) más de  dos  segmentosa través de la piel o por la piel
34228;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO EXTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel  de las vértebras lumbares (L1 a L5)) más de  dos  segmentos vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34229;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO SACRO VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel  de las vértebras sacras  por abordaje abierto a través de una incisión en la piel.
34230;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO SACRO VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer una masa o tumor de la columna vertebral en el espacio comprendido entre la duramadre (membrana que recubre la médula espinal) y la pared del conducto vertebral o raquídeo a nivel  de las vértebras sacras vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34307;RESECCIÓN DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL EXTRADURAL CON EXTENSIÓN FORAMINAL;Procedimiento quirúrgico para extraer una masa o tumor que adoptan la configuración en reloj de arena ya que crecen hacia afuera del canal raquídeo y se van haciendo extradurales  ocupando el agujero de conjunción vertebral que dan paso a las raíces de los nervios espinales que se originan en la médula espinal.
34308;RESECCIÓN DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL INTRA Y EXTRADURAL CON EXTENSIÓN FORAMINAL;Procedimiento quirúrgico para extraer  una masa o tumor que adoptan la configuración en reloj de arena ya que crecen hacia afuera del canal raquídeo y se van haciendo extradurales  ocupando el agujero de conjunción vertebral  que dan paso a las raíces de los nervios espinales que se originan en la médula espinal.
34309;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL C1 C2 VÍA ABIERTA;Procedimiento quirúrgico para extraer una masa o tumor localizado dentro del canal vertebral  y dentro de la medula  a nivel de las vértebras cervicales C1 y C2  por abordaje abierto a través de una incisión en la piel.
34310;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL C1 C2 VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula  a nivel de las vértebras cervicales C1 y C2  a través de la piel o por la piel.
34311;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL C1 C2 VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula a nivel de las vértebras cervicales C1 y C2 vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34312;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula  a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)  hasta dos segmentos  por abordaje abierto a través de una incisión en la piel en la región posterior  del cuello.
34313;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula  a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)  hasta dos segmentos  a través de la piel o por la piel
34314;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula  a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)  hasta dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34315;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)  más de dos segmentos  por abordaje abierto a través de una incisión en la piel en la región posterior  del cuello.
34316;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la medula a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)   más dedos segmentos  a través de la piel o por la piel
34317;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SUBAXIAL MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral y dentro de la médula a nivel subaxial (columna cervical inferior de la vértebras cervicales C3 a C7)  más de dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada).
34318;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)  hasta dos segmentos  por abordaje abierto a través de una incisión en la piel en la región de  la  espalda.
34319;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)  hasta dos segmentos  a través  de la piel o por la piel en la región de  la  espalda.
34320;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)  hasta dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
34321;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)  más de  dos segmentos  por abordaje abierto a través de una incisión en la piel en la región de  la  espalda.
34322;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)   más de dos segmentos  a través  de la piel o por la piel en la región de  la  espalda.
34323;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL TORÁCICO MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras torácicas (T1 a T12)    más de dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
34324;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5)   dos segmentos  por abordaje abierto a través de una incisión en la piel en la región lumbar.
34325;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5)  hasta dos segmentos  a través  de la piel o por la piel  en la región lumbar.
34326;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5)  hasta dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
34327;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5)  más de  dos segmentos  por abordaje abierto a través de una incisión en la piel en la región lumbar.
34328;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5)  más de dos segmentos  a través  de la piel o por la piel  en la región lumbar.
34329;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL LUMBAR MÁS DE DOS SEGMENTOS VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras lumbares (L1 a L5) más de  dos segmentos  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
34330;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SACRO VÍA ABIERTA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras sacras por abordaje abierto a través de una incisión en la piel en la región sacra.
34331;RESECCIÓN DE TUMOR O LESIÓN INTRARRAQUÍDEO INTRADURAL SACRO VÍA ENDOSCÓPICA;Procedimiento quirúrgico para extraer  una masa o tumor dentro del canal vertebral  y dentro de la médula a nivel  de las vértebras sacras  vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
34403;RESECCIÓN DE TUMOR O LESIÓN INTRADURAL INTRAMEDULAR C1 C2 VÍA ABIERTA;Procedimiento quirúrgico para extraer una lesión o tumor dentro de la duramadre (membrana que recubre el cerebro y la médula espinal)  y dentro de la médula a nivel de la vértebras cervicales C1 y C2 por abordaje abierto (corte a través de la piel o membranas mucosas y cualquier otra capa corporal necesaria para exponer el lugar del procedimiento) en la región posterior alta del cuello.
34404;RESECCIÓN DE TUMOR O LESIÓN INTRADURAL INTRAMEDULAR C1 C2 VÍA PERCUTÁNEA;Procedimiento quirúrgico para extraer una   lesión o tumor dentro de la duramadre (membrana que recubre el cerebro y la médula espinal)  y dentro de la médula a nivel de la vértebras cervicales C1 y C2 a través de la piel o por la piel en la región posterior  alta del cuello.
