expediente;principioactivo;cantidad;unidadmedida;unidadreferencia;formafarmaceutica;registrosanitario;fechaexpedicion;fechavencimiento;estadoregistro
20155035;ACETAMINOFEN;100;mg;CADA ML DE SOLUCI”N ORAL CONTIENE;SOLUCION ORAL;INVIMA 2019M-0018961;04/22/2019;;Vigente
20214740;VALSARTAN;160;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0021003;6/05/2023;;Vigente
20019426;CLOTRIMAZOL *;1;g;100 ML DE SOLUCI”N CONTIENE:;LOCION;INVIMA 2017M-0011968-R1;3/10/2011;;Vigente
20031866;MELOXICAM;7.5;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0012493-R2;08/30/2011;;Vigente
40314;HIDROXIPROPILMETILCELULOSA H.V.;2.5;g;100 ML.;SOLUCION OFTALMICA;INVIMA 2008 M-010073 R1;03/18/1998;1/01/3000;Vigente
20031000;LEVOFLOXACINA HEMIHIDRATO 769 MG EQUIVALENTE ALEVOFLOXACINA BASE;750;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0012669-R1;11/17/2011;;Vigente
20039588;CLORURO DE SODIO;0.26;g;100ML DE SOLUCI”N;SOLUCION ORAL;INVIMA 2020M-0013319-R1;06/27/2012;;Vigente
20066116;44.5 MG DE ESOMEPRAZOL MAGNESICO TRIHIDRATO. EQUIVALENTE A ESOMEPRAZOL BASE;40;mg;TABLETA CON CUBIERTA ENT√âRICA;TABLETA CON CUBIERTA ENTERICA CON PELICULA;INVIMA 2023M-0015130-R2;7/08/2014;;Vigente
19901161;CLORURO DE COBRE *2 H20 (CU= 20 MCG);53.7;¬µg;POR ML.;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2021M-13989-R2;12/02/1999;;Vigente
20043549;CLOBETAZOL 17-PROPIONATO;0.05;g;100 G DE UNG√úENTO;UNGUENTO TOPICO;INVIMA 2023M-0013574-R1;08/23/2012;;Vigente
20196075;CARBOXIMETILCELULOSA S√ìDICA;5;mg;ML DE SOLUCI”N OFTALMICA;SOLUCION OFTALMICA;INVIMA 2021M-0020561;12/15/2021;;Vigente
20190347;MELOXICAM;1;g;100 G DE GEL;GEL TOPICO;INVIMA 2022M-0020772;9/08/2022;;Vigente
20229751;GLUCONATO DE ZINC;6;mg;100 ML DE SOLUCION;SOLUCION ORAL;INVIMA 2024M-0021438;4/08/2024;1/01/3000;Vigente
20071876;SULFATO FERROSO HEPTAHIDRATADO. EQUIVALENTE A 803.33 MG DE HIERRO ELEMENTAL;4;g;100 ML DE JARABE;JARABE;INVIMA 2022M-0015871-R1;05/13/2015;;Vigente
20009834;DICLOFENACO DIETILAMONIO 1.22 G EQUIVALENTE ADICLOFENACO S√ìDICO;1;g;100 G DE GEL;GEL TOPICO;INVIMA 2020M-0010399-R1;2/03/2010;;Vigente
20057197;DEXIBUPROFENO;200;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0014766-R1;12/12/2013;;Vigente
20113480;CETIRIZINA DICLORHIDRADO;10;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2022M-0017942-R1;11/30/2017;;Vigente
19988819;BECLOMETASONA DIPROPIONATO;0.329;g.;CADA 100 G DE SUSPENSI”N;AEROSOLES;INVIMA 2018M-0008000-R1;04/21/2008;;Vigente
19999820;NITAZOXANIDA;500;mg.;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0009242-R1;02/17/2009;;Vigente
20213007;CAFEINA ANHIDRA(EN EL INTERIOR DE LA CAPSULA BLANDA);32.5;mg;TABLETA RECUBIERTA;CAPSULA BLANDA;INVIMA 2022M-0020786;09/20/2022;;Vigente
19932994;ALGINATO DE SODIO PHU-152NF AL 85%;2.94;g;100 ML.;SUSPENSION ORAL;INVIMA 2020M-0002032-R2;11/08/2002;;Vigente
55959;DESOGESTREL;0.15;mg;COMPRIMIDO;TABLETA;INVIMA 2016M-000401-R2;1/01/1999;;Vigente
20210861;TRAMADOL CLORHIDRATO;100;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0020764;9/08/2022;;Vigente
19901027;CAFEINA ANHIDRA;50;mg.;TABLETA;TABLETA;INVIMA 2023M-013377-R3;1/01/1999;;Vigente
37786;LIDOCAINA CLORHIDRATO;20;mg;1ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2021M-004009-R5;1/01/1999;;Vigente
20199100;MELOXICAM;1;g;CADA 100 G DE GEL T”PICO CONTIENE;GEL TOPICO;INVIMA 2021M-0020498;12/09/2021;;Vigente
19987949;AMLODIPINO BESILATO 6.944 MG (EQUIVALENTE A AMLODIPINO BASE);5;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2008M-0008460;09/19/2008;1/01/3000;Vigente
20161859;CEFRADILO MONOHIDRATO 5247.63 MG EQUIVALENTES A CEFRADILO;5;g;100 ML DE POLVO PARA SUSPENSION;SUSPENSION ORAL;INVIMA 2020M-0019595;3/04/2020;;Vigente
20251670;CARBOXIMETILCELULOSA S√ìDICA;5;mg;CADA ML DE SOLUCI”N OFT√ÅMICA CONTIENE;SOLUCION OFTALMICA;INVIMA 2024M-0021442;4/11/2024;1/01/3000;Vigente
19986264;MELOXICAM;15;mg;TABLETA;TABLETA;INVIMA 2022M-0009134-R1;01/27/2009;;Vigente
20122093;POTASIO (COMO SULFATO DE POTASIO ANHIDRO);8;mg;CAPSULA;CAPSULA BLANDA;INVIMA 2018M-0018566;11/28/2018;;Vigente
20187098;UREA;20;g;100 GRAMOS DE ESPUMA;AEROSOLES;INVIMA 2021M-0020439;10/25/2021;;Vigente
20120802;BUDESONIDA;100;mcg;DOSIS;SUSPENSION PARA INHALACION;INVIMA 2018M-0018548;11/19/2018;;Vigente
20114785;EMTRICITABINA;200;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019031;05/22/2019;;Vigente
31063;VITAMINA A PALMITATO EQUIVALENTE A VITAMINAA;100000;UI;C√ÅPSULA BLANDA;CAPSULA BLANDA;INVIMA 2023M-010837-R2;1/01/1999;;Vigente
19962004;DEXTROSA ANHIDRA;2500;mg;100 ML;SOLUCION ORAL;INVIMA 2023M-0006676-R2;12/12/2006;;Vigente
20065132;RIFAMICINA SODICA EQUIVALENTEA RIFAMICINA BASE;1;g;100ML DE SOLUCION;SOLUCION TOPICA;INVIMA 2023M-0014948-R2;4/01/2014;;Vigente
20079463;BRIMONIDINA TARTRATO (EQUIVALENTE A 1.32 MG DE BRIMONIDINA BASE);2;mg;POR ML DE SUSPENSI”N OFT√ÅLMICA;SUSPENSION OFTALMICA;INVIMA 2016M-0017384;10/19/2016;;Vigente
20192584;DECITABINA;50;mg;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2023M-0021025;06/30/2023;;Vigente
19908281;NICOTINAMIDA;8.18;mg;CAPSULA BLANDA;CAPSULA BLANDA;RSM-EXP-2022M-0000931-R3;01/16/2002;;Vigente
20087187;CANDESARTAN CILEXETIL;16;mg;TABLETA;TABLETA;INVIMA 2022M-0016549-R1;11/13/2015;;Vigente
20167956;NAPROXENO SODICO (EQUIVALENTE A NAPROXENO BASE 220 MG);241;mg;C√ÅPSULA BLANDA;CAPSULA BLANDA;RSM-EXP20200019609;3/09/2020;;Vigente
19991177;NAPROXENO;250;mg;TABLETA;TABLETA;INVIMA 2009M-0009467;4/01/2009;;Vigente
20007664;POLIETILENGLICOL 400;4;mg;CADA MILILITRO CONTIENE;SOLUCION OFTALMICA;INVIMA 2009M-0010275;12/17/2009;;Vigente
43789;INMUNOGLOBULINA M (IGM);6;mg;ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2021MB-012811-R3;1/01/1999;;Vigente
20142729;ROSUVASTATINA CALCICAAMORPHA 10.400 MG EQUIVALENTE A ROSUVASTATINA;10;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2019M-0019193;8/06/2019;;Vigente
19960276;LEVOCETIRIZINA DICLORHIDRATO;0.05;g;100 ML JARABE;JARABE;INVIMA 2016M-0005678-R1;5/03/2006;;Vigente
20039588;CITRATO DE SODIO DIHIDRATADO;0.29;g;100ML DE SOLUCI”N;SOLUCION ORAL;INVIMA 2020M-0013319-R1;06/27/2012;;Vigente
20124731;ACIDO FUSIDICO;2;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2018M-0018596;12/05/2018;;Vigente
19974976;LORATADINA;0.05;g;100 ML DE JARABE;JARABE;INVIMA 2021M-0007477-R1;10/31/2007;;Vigente
210692;MELOXICAM;7.5;mg;TABLETA;TABLETA;INVIMA 2023M-006210-R3;1/01/1999;;Vigente
20113911;FLUCONAZOL;75;mg;;TABLETA;INVIMA 2019M-0018744;2/04/2019;;Vigente
19960957;TIZANIDINA CLORHIDRATO EQUIVALENTE A TIZANIDINA BASE;4;mg;TABLETA;TABLETA CUBIERTA CON PELICULA;INVIMA 2023M-0006055-R2;07/13/2006;;Vigente
1980176;CLENBUTEROL CLORHIDRATO;0.2;mg;100 ML DE JARABE;JARABE;INVIMA 2021M-009014-R4;7/12/1995;;Vigente
20130178;BESILATO DE AMLODIPINO 13.88 MGEQUIVALENTES A AMLODIPINO;10;mg;TABLETA;COMPRIMIDO;INVIMA 2019M-0019187;8/06/2019;;Vigente
38384;SIMETICONA AL 27% EQUIVALENTE A SIMETICONA;0.4;g;100 ML DESUSPENSI”N;SUSPENSION ORAL;INVIMA 2023M-12081-R4;1/01/1999;;Vigente
20064684;1* IBUPROFENO GRANULADO DC AL 85%. EQUIVALENTE A IBUPROFENO;400;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0015007-R1;04/30/2014;;Vigente
216264;5-FLUOROURACILO;2.5;g;100 G DE CREMA;CREMA TOPICA;INVIMA2020M-013123-R2;6/03/1999;;Vigente
230167;ORLISTAT;120;mg;C√ÅPSULA;CAPSULA DURA;INVIMA 2019M-012899-R2;1/01/1999;;Vigente
227519;FLUCONAZOL;150;mg;CAPSULA;CAPSULA DURA;INVIMA 2008 M-011828 R-1;7/10/1998;;Vigente
20069025;ETOFENAMATO;1000;mg;AMPOLLA O JERINGA PRELLENADA X 2ML;SOLUCION INYECTABLE;INVIMA 2022M-0015503-R1;12/02/2014;;Vigente
20236340;DIOSMECTITA;30;g;CADA SACHET CONTIENE POLVO PARA RECONSTRUIR A SUSPENSION ORAL;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2023M-0021161;12/01/2023;1/01/3000;Vigente
20210883;CAFE√çNA;65;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0020985;05/19/2023;;Vigente
20049336;LOSART√ÅN POT√ÅSICO;100;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2013M-0014220;05/15/2013;;Vigente
20161674;BICARBONATO DE SODIO;2130;mg;100 ML DE SUSPENSI”N ORAL;SUSPENSION ORAL;INVIMA 2019M-0019257;9/02/2019;;Vigente
215183;CLORHIDRATO DE GEMCITABINAEQUIVALENTE A GEMCITABINA;1;g;CADA VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2023M-006958-R3;9/04/1997;;Vigente
20060384;TAK -390 MR(COMPUESTO POR 58 MG DEGRANULOS LS + 210 MG DE GRANULOS -H)EQUIVALENTES A DEXLANSOPRAZOL;60;mg;CAPSULA DE LIBERACION RETARDADA;CAPSULA CON CUBIERTA ENTERICA;INVIMA 2018M-0014865-R1;02/25/2014;;Vigente
20003165;PIRAZINAMIDA;400;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2017M-0012420-R1;07/22/2011;;Vigente
20062273;CLORHIDRATO DE GEMCITABINA EQUIVALENTE A GEMCITABINA BASE;1;g;FRASCO AMPOLLLA;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2014M-0015517;12/11/2014;;Vigente
20052648;CLOTRIMAZOL;100;mg;OVULO;OVULO;INVIMA 2013M-0014300;06/13/2013;;Vigente
20190007;MINOXIDIL;5;g;100ML DE SOLUCION TOPICA;LOCION;INVIMA 2021M-0020245;06/21/2021;;Vigente
19997070;PIRITINOL BASE;3.222;g;100 ML DE SUSPENSI”N;SUSPENSION ORAL;INVIMA 2018M-0009118-R1;01/22/2009;;Vigente
20110180;HIDROCLOROTIAZIDA;12.5;mg;SIN DATO;TABLETA;INVIMA 2023M-0018060-R1;03/13/2018;;Vigente
42299;DL-ALFATOCOFERIL ACETATO/VITAMINA E SINTETICA (EQUIVALENTE A100UI DE VITAMINA E);100;mg;CAPSULA;CAPSULA BLANDA;INVIMA 2019M-004704-R4;03/23/1994;;Vigente
20120374;ACETAMINOF√âN COMPAP WSE 95% EQUIVALENTE A ACETAMINOFEN (CADA 100 G DE ACETAMINOFEN COMPAP WSE 95% CONTIENE 95 G DE ACETAMINOFEN. 4 G DE MALTODEXTRINA . 1 G DE POVIDONA);500;mg;SOBRE POR 15 G DE GRANULADO PARA RECONSTITUIR A SOLUCI”N ORAL;GRANULOS;INVIMA 2019M-0019486;12/04/2019;;Vigente
20105815;MINOXIDIL;5;g;100 G DE ESPUMA TOPICA EN AEROSOL;AEROSOLES;INVIMA 2017M-0017602;02/21/2017;;Vigente
19961419;CANDESARTAN CILEXETILO;32;mg;TABLETA;TABLETA;INVIMA 2017M-0005077-R1;12/14/2005;;Vigente
45821;PROPAFENONA CLORHIDRATO;300;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA (GRAGEA);INVIMA 2015M-004879-R3;1/01/1999;;Vigente
20137691;TENOFOVIRDISOPROXIL FUMARATO;300;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0018838;3/04/2019;;Vigente
19970685;ISOTRETINOINA;10;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2023M-0006942-R2;4/11/2007;;Vigente
20232223;BETAMETASONA DIS√ìDICO FOSFATO;1;mg;SOLUCI”N OFT√ÅLMICA;SOLUCION OFTALMICA;RSM-EXP20230021182;12/04/2023;1/01/3000;Vigente
19944665;METFORMINA CLORHIDRATO;850;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2016M-0004045-R1;01/13/2005;;Vigente
19967654;BUPRENORFINA;40;mg;PARCHE;SOLUCION PARA USO TRANSDERMICO(PARCHE);INVIMA 2016M-0006024-R1;7/05/2006;;Vigente
20101576;RASAGILINA MESILATO 1.56 MG EQUIVALENTE A RASAGILINA;1;mg;TABLETA;TABLETA;INVIMA 2018M-0018514;11/07/2018;;Vigente
20163933;ACETATO DE CLORMADINONA;2;mg;COMPRIMIDOS RECUBIERTOS;TABLETA;INVIMA 2021M-0020376;08/31/2021;;Vigente
20149191;ACETAMINOFEN;325;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019237;08/21/2019;1/01/3000;Vigente
19996463;VITAMINAC;100;mg;ML;SOLUCION ORAL;INVIMA 2010M-0010388;2/03/2010;;Vigente
19962743;ORLISTAT;120;mg;CAPSULA;CAPSULA DURA;INVIMA 2017M-0006196-R1;8/04/2006;;Vigente
20147296;CEPA A/THAILAND/8/2022 (H3N2)- CEPA AN√ÅLOGA (A/CALIFORNIA/122/2022. SAN-022).;15;mcg;JERINGA PRELLENADA CON 0.5 ML;SUSPENSION INYECTABLE;INVIMA 2020MB-0000005;6/02/2020;;Vigente
20046832;CODEINA FOSFATO HEMIHIDRATO;8;mg;TABLETA;TABLETA;INVIMA 2023M-0013656-R2;09/19/2012;;Vigente
20152584;ADAPALENO;0.1;g;100 G. GEL;GEL TOPICO;INVIMA 2019M-0019474;12/02/2019;;Vigente
19962049;TRIGLIC√âRIDOS DE CADENA MEDIA;100;g;1000 ML.;EMULSION INYECTABLE;INVIMA 2021M-0006407-R2;09/20/2006;;Vigente
34162;HIDROCLOROTIAZIDA;25;mg;TABLETA;TABLETA;INVIMA 2022M-001733-R4;06/16/1998;;Vigente
19969729;NAFAZOLINA CLORHIDRATO;0.5;mg;1ML DE SOLUCION OFTALMICA;SOLUCION OFTALMICA;INVIMA 2023M-0006761-R2;01/19/2007;;Vigente
20137789;ACETAMINOFEN COMPRESO PAP 87S EQUIV. A ACETAMINOFEN;325;mg;TABLETA;TABLETA;INVIMA 2020M-0019628;03/19/2020;;Vigente
20111469;LIXISENATIDA;50;mcg;SIN DATO;SOLUCION INYECTABLE;INVIMA 2019M-0018726;01/29/2019;;Vigente
19978278;FENILEFRINA CLORHIDRATO;0.05;g;100 ML DE JARABE;JARABE;INVIMA 2023M-0008084-R1;5/12/2008;;Vigente
20248098;AMOXICILINA;500;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2024M-0021394;03/14/2024;1/01/3000;Vigente
43739;GEMFIBROZILO;600;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-012863-R4;02/21/1992;;Vigente
19945052;DL-ALFATOCOFERIL ACETATO / VITAMINA E SINTETICA EQUIVALENTE A 1000 UI DE VITAMINA E;1000;mg;C√ÅPSULA;CAPSULA BLANDA;INVIMA 2021M-0003847-R2;10/06/2004;;Vigente
20104791;ETORICOXIB;60;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2017M-0017594;02/17/2017;;Vigente
19904212;SULFAMETOXAZOL;400;mg;TABLETA;TABLETA;INVIMA 2019M-13666-R2;1/01/1999;;Vigente
20137501;CLOTRIMAZOL;1;g;100 GRAMOS DE CREMA;CREMA TOPICA;INVIMA 2019M-0018799;02/20/2019;;Vigente
20016078;EZETIMIBA MICRONIZADO;10;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2020M-0010915-R1;6/08/2010;;Vigente
20165661;BETAMETASONA DIPROPIONATO EQUIVALENTE ABETAMETASONA BASE;0.05;mg;100 MG DE CREMA;CREMA TOPICA;INVIMA 2019M-0019502;12/12/2019;;Vigente
20121175;FLUOROURACILO;500;mg;VIAL;SOLUCION INYECTABLE;INVIMA 2023M-0018360-R1;08/24/2018;;Vigente
20004470;HESPERIDINA;50;mg;COMPRIMIDO RECUBIERTO;TABLETA RECUBIERTA;INVIMA 2019M-0009648-R1;05/19/2009;;Vigente
20120223;REMIFENTANILO CLORHIDRATO 2.2 MG EQUIVALENTE A REMIFENTANILO;2;mg;CADA VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2018M-0018677;12/26/2018;;Vigente
20049191;HIDROCLOROTIAZIDA;12.5;mg;CADA TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0014003-R1;01/31/2013;;Vigente
20043280;CAFEINA ANHIDRA;30;mg;CAPSULA DURA;CAPSULA DURA;INVIMA 2021M-0013507-R1;8/06/2012;;Vigente
20187318;LACOSAMIDA;200;mg;TABLETAS;TABLETA RECUBIERTA;INVIMA 2020M-0019979;12/22/2020;;Vigente
19915210;AMLODIPINO BESILATO 6.934 MG EQUIVALENTE A AMLODIPINO BASE;5;mg;TABLETA;TABLETA;INVIMA 2023M-0000241-R3;6/06/2001;;Vigente
20048287;PANTOPRAZOL SODICO SESQUIHIDRATO22.6 MGEQUIVALENTE A PANTOPRAZOL;20;mg;TABLETA CONCUBIERTA ENT√âRICA;TABLETA CON CUBIERTA ENTERICA CON PELICULA;INVIMA 2023M-0013482-R2;07/31/2012;;Vigente
20022893;ATORVASTATINA CALCICA TRIHIDRATO. EQUIVALENTE A ATORVASTATINA BASE;20;mg;TABLETA;TABLETA;INVIMA 2022M-0011684-R2;12/06/2010;;Vigente
20043405;AMLODIPINO BESILATO EQUIVALENTE ADE AMLODIPINO.;10;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0013063-R1;04/17/2012;;Vigente
19951814;PAMOATO DE OXANTEL EQUIVALENTEA OXANTEL BASE 100MG;280.74;mg;TABLETA;TABLETA;INVIMA 2021M-0004491-R2;6/09/2005;;Vigente
20163933;ETINILESTRADIOL;0.03;mg;COMPRIMIDOS RECUBIERTOS;TABLETA;INVIMA 2021M-0020376;08/31/2021;;Vigente
20044614;CARBONATO DE CALCIO 1500 MG EQUIVALENTEACALCIO;600;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2020M-0013166-R1;5/04/2012;;Vigente
20057210;AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA;250;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0014959-R1;4/07/2014;;Vigente
20007636;ATORVASTATINACOMO ATORVASTATINACALCICA 43.36MG;40;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0010136-R1;10/20/2009;;Vigente
20097529;IBUPROFENO;400;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0017085-R1;6/07/2016;;Vigente
20092764;TENOFOVIR DISOPROXIL FUMARATO;300;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0016089-R1;07/24/2015;;Vigente
54285;CETIRIZINA DICLORHIDRATO;100;mg;100 ML;JARABE;INVIMA 2020M-006255-R2;03/14/1997;;Vigente
20177491;TALAZOPARIB TOSYLATO 1.453 MG EQUIVALENTE A TALAZOPARIB BASE;1;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2023M-0020969;5/11/2023;;Vigente
230249;POLISACARIDO DE HAEMOPHILUS INFLUENZAE TIPO B (POLIRRIBOSILRIBITOL FOSFATO. PRP);10;mcg;SIN DATO;SUSPENSION INYECTABLE;INVIMA 2020MB-012551-R2;03/26/1999;;Vigente
20001603;ERITROPOYETINA HUMANA RECOMBINANTE;10000;UI;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2009M-0010083;10/02/2009;;Vigente
20007122;CIPERMETRINA;0.2;g;100 ML;EMULSION (CHAMPOO);INVIMA 2010M-0010395;2/03/2010;;Vigente
20055513;HIDROCLOROTIAZIDA;12.5;MG;TABLETA;TABLETA;INVIMA 2013M-0014638;10/10/2013;;Vigente
20061746;L-TRIPT√ìFANO;1;mg;ML;EMULSION INYECTABLE;INVIMA 2021M-0015496-R1;12/02/2014;;Vigente
20207376;PROTE√çNA DE FUSI√ìN RECOMBINANTE QUE UNE EL FACTOR IX DE COAGULACI√ìN CON LA ALB√öMINA (RIX-FP). (ALBUTREPENONACOG ALFA);1000;UI;VIAL CON POLVO LIOFILIZADO;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2024MB-0000106;9/04/2024;09/23/2034;Vigente
19998588;BETAMETASONA VALERATO;0.05;g;CADA 100 G DE CREMA CONTIENE;CREMA TOPICA;INVIMA 2019M-0009972-R1;08/28/2009;;Vigente
19960073;SILDENAFIL CITRATOEQUIVALENTE A SILDENAFIL BASE;50;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2021M-0005393-R2;02/17/2006;;Vigente
20196841;CLOTRIMAZOL;1;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2022M-0020614;3/10/2022;1/01/3000;Vigente
20156034;NAPROXENO;3;g;100 ML DE SUSPENSI”N ORAL;SUSPENSION ORAL;INVIMA 2019M-0019011;05/13/2019;;Vigente
19933145;DIPIRONA SODICA;1;g;AMPOLLA POR 2 ML;SOLUCION INYECTABLE;INVIMA 2019M-0002055-R2;11/19/2002;;Vigente
20027412;LEVOSULPIRIDE;25;mg;GRAGEA;TABLETA CUBIERTA (GRAGEA);INVIMA 2022M-0012253-R2;6/03/2011;;Vigente
20006591;MELOXICAM;7.5;mg.;TABLETA;TABLETA;INVIMA 2019M-0009961-R1;08/26/2009;;Vigente
19984153;AMOXICILINA TRIHIDRATO 5.84 G EQUIVALENTE AMOXICILINA BASE.;5;g;50.0 G DE POLVO PARA RECONSTITUIR A 100 ML.;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2021M-0008102-R1;05/16/2008;1/01/3000;Vigente
20038991;DULOXETINA MICROGRANULOS AL 17% EQUIVALENTE A DULOXETINA BASE;30;mg;C√ÅPSULA DURA;CAPSULA CON CUBIERTA ENTERICA;INVIMA 2023M-0013608-R1;9/03/2012;;Vigente
20080149;FORMOTEROL FUMARATO DIHIDRATO EQUIVALENTE A FORMOTEROL FUMARATO;0.006;mg;POLVO PARA INHALACION (CAPSULA DURA);POLVO PARA INHALACION;INVIMA 2021M-0016993-R1;04/18/2016;;Vigente
19931121;TREONINA;0.86;g;100 ML;SOLUCION INYECTABLE;INVIMA 2019M-0001853-R2;9/05/2002;;Vigente
20020683;ACIDO FOLICO;0.4;mg;TABLETA CUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0011409-R2;10/01/2010;;Vigente
19991189;QUETIAPINA FUMARATO28.7828 MG EQUIVALENTE A QUETIAPINA BASE;25;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0008787-R1;11/26/2008;;Vigente
20254454;QUETIAPINA;25;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2024M-0021425;03/26/2024;1/01/3000;Vigente
20096453;CLOTRIMAZOL;1;g;100 GRAMOS;CREMA VAGINAL;INVIMA 2021M-0017050-R1;5/06/2016;;Vigente
19977734;MEMANTINA CLORHIDRATO;10;mg;1 ML.;SOLUCION ORAL;INVIMA 2023M-0007360-R2;09/21/2007;;Vigente
20168885;ETINILESTRADIOL;3.474;mg;SIN DATO;SISTEMAS DE LIBERACION;INVIMA 2023M-0021053;08/28/2023;;Vigente
20084461;BETAHISTINADICLORHIDRATO;16;mg;TABLETA;TABLETA;INVIMA 2021M-0016124-R1;8/03/2015;;Vigente
223139;LETROZOL;2.5;mg;COMPRIMIDO;TABLETA;INVIMA 2023M-010327-R2;3/09/1998;;Vigente
20123891;IBUPROFENO;400;mg;C√ÅPSULA BLANDA;CAPSULA BLANDA;INVIMA 2018M-0018567;11/29/2018;;Vigente
20058197;TRASTUZUMAB EMTANSINA;100;mg;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2022MBT-0015112-R1;7/01/2014;;Vigente
20006067;HIDROCORTISONA ACETATO;1;g;100G DE CREMA;CREMA TOPICA;INVIMA 2023M-0013991-R1;01/31/2013;;Vigente
20163335;OMEPRAZOL MICROGRANULOS 8.5% -235.29 MG EQUIVALENTE A OMEPRAZOL;20;mg;CAPSULAS;CAPSULA DURA;INVIMA 2020M-0019834;09/25/2020;;Vigente
20232449;GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA BASE;3;mg;1 ML. DE SOLUCI”N OFT√ÅLMICA ESTERIL;SOLUCION OFTALMICA;RSM-EXP20240021440;4/09/2024;1/01/3000;Vigente
32842;ALOPURINOL;300;mg;TABLETA;TABLETA;INVIMA 2022M-001502- R4;1/01/1999;;Vigente
19960665;CIPROFLOXACINO CLORHIDRATO EQUIVALENTE A CIPROFLOXACINO BASE;500;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0005945-R2;06/27/2006;;Vigente
39734;PIROXICAM;0.5;g;100 G.;GEL TOPICO;INVIMA 2020M-013045-R3;1/01/1999;;Vigente
19993003;GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA;0.1;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2009M-0009924;8/06/2009;1/01/3000;Vigente
